mode,batch,step,mse,grad_var,clip_rate
prior,8,0.0,25.059167643846965,0.33597258430172716,1.0
prior,8,50.0,1.5485242751638522,0.001159878883588155,0.43137254901960786
prior,8,100.0,2.722571257206052,0.0032801129925157176,0.44554455445544555
prior,8,150.0,0.7028165532589885,0.0023025366283859977,0.36423841059602646
prior,8,200.0,0.6318440751395118,0.0022107494880999807,0.3034825870646766
prior,8,250.0,0.2500089522069599,0.0027900915331232046,0.250996015936255
prior,8,300.0,0.33242227434378296,0.0024350978983505357,0.23588039867109634
prior,8,350.0,0.2697217506620225,0.002980930358902365,0.20512820512820512
prior,8,400.0,0.4801097750672566,0.0023697081207081374,0.19950124688279303
prior,8,450.0,2.5578655375219173,0.007099576145137019,0.18403547671840353
prior,8,500.0,0.2712157409246784,0.001665522229413212,0.18762475049900199
prior,8,550.0,0.31165278706327093,0.002050379176859588,0.1724137931034483
prior,8,600.0,0.4410818875092764,0.005047327859289956,0.15806988352745424
prior,8,650.0,0.2780181580997791,0.0005988650982515112,0.14592933947772657
prior,8,700.0,0.34326610800225227,0.0005312712616202504,0.1383737517831669
prior,8,750.0,0.3049549754555269,0.0002770612598327083,0.12916111850865514
prior,8,800.0,0.28225532353235416,0.0003626956149816714,0.12109862671660425
prior,8,850.0,0.3873120688691172,0.001474263005331592,0.11398354876615746
prior,8,900.0,0.3751877537110912,0.0010702832785156138,0.1076581576026637
prior,8,950.0,0.23750685349631975,0.0009881540077737077,0.10199789695057834
prior,8,1000.0,0.2711277386594511,0.0009135076916146231,0.0969030969030969
prior,8,1050.0,0.33627974761615226,0.0010589160832009208,0.0922930542340628
prior,8,1100.0,0.27988586900655343,0.0008898100006588781,0.08810172570390554
prior,8,1150.0,0.6828589985954406,0.00040558434716229973,0.0842745438748914
prior,8,1200.0,0.31625391782974727,0.0010792270547116591,0.08076602830974189
prior,8,1250.0,0.33466395252941694,0.00038819957878055125,0.07753796962430055
prior,8,1300.0,0.37345214492859613,0.00034767731887085194,0.07455803228285934
prior,8,1350.0,0.34925104307158045,0.0005787622453984778,0.07179866765358993
prior,8,1400.0,0.3023743942521172,0.0006675208827296215,0.06923625981441828
prior,8,1450.0,0.22877233491252263,0.00016368046135321705,0.06685044796691937
prior,8,1500.0,0.31973714655758945,0.00026391732627923514,0.06462358427714857
